Timestamp;Me identifico;Tengo;Estoy trabajando en;Salario mensual BRUTO (en tu moneda local);Salario mensual NETO (en tu moneda local)
domingo, 7 de junio de 2020;Mujer;26;Argentina;53000;43000
domingo, 7 de junio de 2020;Hombre;29;Argentina;79000;63000
domingo, 7 de junio de 2020;Mujer;22;Argentina;160000;127000
domingo, 7 de junio de 2020;Hombre;39;Argentina;130000;102000
domingo, 7 de junio de 2020;Hombre;32;Argentina;140000;106000
domingo, 7 de junio de 2020;Hombre;25;Argentina;54000;44000
domingo, 7 de junio de 2020;Hombre;33;Argentina;75000;62400
domingo, 7 de junio de 2020;Hombre;23;Argentina;45000;37500
domingo, 7 de junio de 2020;Hombre;40;Argentina;105000;75000
domingo, 7 de junio de 2020;Otros;35;Argentina;47000;39000
domingo, 7 de junio de 2020;Hombre;25;Argentina;36800;36800
domingo, 7 de junio de 2020;Hombre;37;Argentina;93735;94621
domingo, 7 de junio de 2020;Hombre;34;Argentina;70000;63000
domingo, 7 de junio de 2020;Hombre;45;Argentina;102000;92000
domingo, 7 de junio de 2020;Hombre;42;Argentina;102000;80000
domingo, 7 de junio de 2020;Hombre;31;Argentina;100000;75000
domingo, 7 de junio de 2020;Hombre;24;Argentina;140000;100000
domingo, 7 de junio de 2020;Mujer;31;Argentina;88000;70000
domingo, 7 de junio de 2020;Hombre;22;Argentina;125000;93000
domingo, 7 de junio de 2020;Hombre;26;Argentina;75000;68000
domingo, 7 de junio de 2020;Hombre;37;Argentina;87000;80000
domingo, 7 de junio de 2020;Hombre;38;Argentina;36874;47950
domingo, 7 de junio de 2020;Hombre;41;Argentina;100000;84000
domingo, 7 de junio de 2020;Hombre;25;Argentina;47945;38460
domingo, 7 de junio de 2020;Hombre;23;Argentina;80000;66000
domingo, 7 de junio de 2020;Mujer;30;Argentina;140000;98700
domingo, 7 de junio de 2020;Hombre;24;Argentina;260000;200000
domingo, 7 de junio de 2020;Mujer;30;Argentina;36000;31000
domingo, 7 de junio de 2020;Hombre;35;Uruguay;89000;60000
domingo, 7 de junio de 2020;Mujer;28;Argentina;94000;74000
domingo, 7 de junio de 2020;Hombre;35;Argentina;123000;88900
domingo, 7 de junio de 2020;Hombre;53;Argentina;160000;137000
domingo, 7 de junio de 2020;Mujer;25;Argentina;56000;45000
domingo, 7 de junio de 2020;Mujer;28;Argentina;63300;51000
domingo, 7 de junio de 2020;Hombre;35;Argentina;268000;168000
domingo, 7 de junio de 2020;Mujer;24;Argentina;38500;31955
domingo, 7 de junio de 2020;Hombre;30;Argentina;100000;90000
domingo, 7 de junio de 2020;Hombre;33;Argentina;196000;132000
domingo, 7 de junio de 2020;Mujer;34;Argentina;100000;84000
domingo, 7 de junio de 2020;Hombre;21;Argentina;67000;56000
domingo, 7 de junio de 2020;Hombre;40;Argentina;174000;122000
domingo, 7 de junio de 2020;Mujer;28;Argentina;60407;50138
domingo, 7 de junio de 2020;Hombre;35;Argentina;450000;280000
domingo, 7 de junio de 2020;Hombre;30;Argentina;180000;130000
domingo, 7 de junio de 2020;Hombre;45;Argentina;149612;126500
domingo, 7 de junio de 2020;Hombre;32;Argentina;69500;64500
domingo, 7 de junio de 2020;Hombre;27;Argentina;48500;38943
domingo, 7 de junio de 2020;Hombre;25;Argentina;70000;65023
domingo, 7 de junio de 2020;Hombre;31;Argentina;235500;168000
domingo, 7 de junio de 2020;Mujer;26;Argentina;48800;43824
domingo, 7 de junio de 2020;Hombre;24;Argentina;105000;90000
domingo, 7 de junio de 2020;Hombre;27;Argentina;48000;40000
domingo, 7 de junio de 2020;Hombre;21;Argentina;55000;50000
domingo, 7 de junio de 2020;Hombre;31;Argentina;95125;74144
domingo, 7 de junio de 2020;Hombre;22;Argentina;100000;82000
domingo, 7 de junio de 2020;Hombre;24;Argentina;90000;72000
domingo, 7 de junio de 2020;Hombre;33;Argentina;105000;80000
domingo, 7 de junio de 2020;Hombre;34;Argentina;72300;57117
domingo, 7 de junio de 2020;Hombre;32;Argentina;90000;75000
domingo, 7 de junio de 2020;Hombre;43;Argentina;100000;75000
domingo, 7 de junio de 2020;Hombre;26;Argentina;27000;21995
domingo, 7 de junio de 2020;Hombre;50;Argentina;480000;345420
domingo, 7 de junio de 2020;Hombre;26;Argentina;82000;67000
